chr	start	end	length	abs_summit	pileup	=-LOG10(pvalue)	fold_enrichment	=-LOG10(qvalue)	name
chr17	15065393	15066311	919	15065831	120	108.65399	17.08447	105.64617	WT_CTCF_1_2_peak_26164
chr17	15072719	15073016	298	15072839	23	7.96759	3.56376	5.93174	WT_CTCF_1_2_peak_26165
chr17	15183745	15184027	283	15183876	29	12.07118	4.4547	9.94159	WT_CTCF_1_2_peak_26166
chr17	15198791	15199115	325	15198925	20	6.14149	3.11829	4.16332	WT_CTCF_1_2_peak_26167
chr17	15368776	15369181	406	15368994	29	10.0713	3.77293	7.98313	WT_CTCF_1_2_peak_26168
chr17	15377983	15378375	393	15378204	48	20.46518	5.05716	18.21254	WT_CTCF_1_2_peak_26169
chr17	15383298	15383750	453	15383566	67	41.29062	8.32455	38.83128	WT_CTCF_1_2_peak_26170
chr17	15419441	15419851	411	15419639	37	18.31751	5.64262	16.09014	WT_CTCF_1_2_peak_26171
chr17	15438546	15438940	395	15438660	41	21.1895	6.06026	18.92759	WT_CTCF_1_2_peak_26172
chr17	15455198	15455799	602	15455538	55	34.8208	8.31545	32.41715	WT_CTCF_1_2_peak_26173
chr17	15457805	15458260	456	15458011	39	15.48767	4.53499	13.30256	WT_CTCF_1_2_peak_26174
chr17	15465155	15465517	363	15465326	35	16.6825	5.34564	14.47894	WT_CTCF_1_2_peak_26175
chr17	15467485	15468209	725	15467895	203	196.32532	21.05432	192.36633	WT_CTCF_1_2_peak_26176
chr17	15472539	15473267	729	15472894	73	39.06387	7.00881	36.62315	WT_CTCF_1_2_peak_26177
chr17	15517808	15518568	761	15518382	45	24.25452	6.49492	21.95874	WT_CTCF_1_2_peak_26178
chr17	15530034	15530707	674	15530404	96	60.99343	9.18722	58.37387	WT_CTCF_1_2_peak_26179
chr17	15532903	15533643	741	15533246	61	40.92045	9.20639	38.46307	WT_CTCF_1_2_peak_26180
chr17	15566851	15567377	527	15567128	74	52.14408	10.27441	49.59508	WT_CTCF_1_2_peak_26181
chr17	15577476	15577725	250	15577577	26	9.40317	3.81224	7.33176	WT_CTCF_1_2_peak_26182
chr17	15585660	15585979	320	15585793	54	33.83024	8.16696	31.43545	WT_CTCF_1_2_peak_26183
chr17	15622803	15623304	502	15623071	84	46.3784	7.43848	43.87623	WT_CTCF_1_2_peak_26184
chr17	15715028	15715679	652	15715412	130	114.61213	16.47513	111.55068	WT_CTCF_1_2_peak_26185
chr17	15723628	15724401	774	15723956	69	40.89849	7.93624	38.4437	WT_CTCF_1_2_peak_26186
chr17	15724530	15724781	252	15724562	24	7.02473	3.14411	5.01904	WT_CTCF_1_2_peak_26187
chr17	15751063	15751682	620	15751461	46	26.19889	6.97904	23.87982	WT_CTCF_1_2_peak_26188
chr17	15777956	15778457	502	15778229	51	30.90589	7.72149	28.53855	WT_CTCF_1_2_peak_26189
chr17	15786815	15787641	827	15787218	149	151.45671	22.27352	148.03018	WT_CTCF_1_2_peak_26190
chr17	15803956	15804952	997	15804592	132	95.25008	11.63903	92.35725	WT_CTCF_1_2_peak_26191
chr17	15828345	15828955	611	15828732	54	33.83024	8.16696	31.43545	WT_CTCF_1_2_peak_26192
chr17	15831791	15832271	481	15832029	128	119.17133	18.21402	116.07018	WT_CTCF_1_2_peak_26193
chr17	16221224	16221581	358	16221414	53	32.84747	8.01847	30.46177	WT_CTCF_1_2_peak_26194
chr17	16461189	16461599	411	16461381	69	44.1077	8.8035	41.62326	WT_CTCF_1_2_peak_26195
chr17	16633328	16633927	600	16633554	33	8.22951	2.97539	6.18817	WT_CTCF_1_2_peak_26196
chr17	16900499	16901387	889	16900912	113	93.40124	14.33714	90.52104	WT_CTCF_1_2_peak_26197
chr17	16926206	16926602	397	16926404	48	26.94964	6.9185	24.62466	WT_CTCF_1_2_peak_26198
chr17	16937668	16937948	281	16937855	23	7.96759	3.56376	5.93174	WT_CTCF_1_2_peak_26199
chr17	16948329	16948665	337	16948481	24	8.6118	3.71225	6.5586	WT_CTCF_1_2_peak_26200
chr17	17229118	17229488	371	17229317	41	21.71952	6.23659	19.44981	WT_CTCF_1_2_peak_26201
chr17	17371994	17372287	294	17372125	33	14.90809	4.98404	12.73388	WT_CTCF_1_2_peak_26202
chr17	17386034	17386526	493	17386310	73	44.76958	8.38974	42.28084	WT_CTCF_1_2_peak_26203
chr17	17392817	17393631	815	17393147	98	79.5451	13.56223	76.78177	WT_CTCF_1_2_peak_26204
chr17	17394341	17394890	550	17394567	144	113.87317	13.73347	110.81995	WT_CTCF_1_2_peak_26205
chr17	17402479	17402950	472	17402699	115	80.92133	10.98678	78.14471	WT_CTCF_1_2_peak_26206
chr17	17409420	17410022	603	17409726	49	24.75905	6.12099	22.457	WT_CTCF_1_2_peak_26207
